Company,Specific_Origin,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Origin
A. Morin,Kpime,1676,2015,70.0,France,2.75,,Togo
A. Morin,Akata,1680,2015,70.0,France,3.5,,Togo
A. Morin,Quilla,1704,2015,70.0,France,3.5,,Peru
A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela
A. Morin,Cuba,1315,2014,70.0,France,3.5,,Cuba
,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela
A. Morin,Pablino,1319,2014,70.0,France,4.0,,Peru
A. Morin,Panama,1011,2013,70.0,France,2.75,,Panama
A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar
A. Morin,Brazil,1011,2013,70.0,France,3.25,,Brazil
A. Morin,Equateur,1011,2013,70.0,France,3.75,,Ecuador
A. Morin,Colombie,1015,2013,70.0,France,2.75,,Colombia
A. Morin,Birmanie,1015,2013,70.0,France,3.0,,Burma
,Papua New Guinea,1015,2013,70.0,France,3.25,,PapuaNewGuinea
A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela
A. Morin,Piura,1019,2013,70.0,France,3.25,,Peru
A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,,Peru
A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,,Peru
A. Morin,Bolivia,797,2012,70.0,France,3.5,,Bolivia
A. Morin,Peru,797,2012,63.0,France,3.75,,Peru
Acalli,"Chulucanas, El Platanal",1462,2015,70.0,U.S.A.,3.75,,Peru
Acalli,"Tumbes, Norandino",1470,2015,70.0,U.S.A.,3.75,Criollo,Peru
Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji
Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,Trinitario,Fiji
Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,Trinitario,Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero,Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero,Ecuador
Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,Criollo,Mexico
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75.0,Switzerland,3.75,Trinitario,Indonesia
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.0,Switzerland,2.75,Criollo,Madagascar
Akesson's (Pralus),,508,2010,75.0,Switzerland,2.75,Forastero,Brazil
