score,age,absences,address,Medu,Mjob,failures,higher,romantic,internet
30.0,18,6.0,U,4.0,at_home,0.0,yes,no,yes
30.0,17,4.0,U,1.0,at_home,0.0,yes,no,yes
50.0,15,10.0,U,1.0,at_home,3.0,yes,no,yes
75.0,15,2.0,U,4.0,health,0.0,yes,yes,yes
50.0,16,4.0,U,3.0,other,0.0,yes,no,no
75.0,16,10.0,U,4.0,services,0.0,yes,no,yes
55.0,16,0.0,U,2.0,other,0.0,yes,no,yes
30.0,17,6.0,U,4.0,other,0.0,yes,no,no
95.0,15,0.0,U,3.0,services,0.0,yes,no,yes
75.0,15,0.0,U,3.0,other,0.0,yes,no,yes
45.0,15,0.0,U,4.0,teacher,0.0,yes,no,yes
60.0,15,4.0,U,2.0,services,0.0,yes,no,yes
70.0,15,2.0,U,4.0,health,0.0,yes,no,yes
55.0,15,2.0,U,4.0,teacher,0.0,yes,no,yes
80.0,15,0.0,U,2.0,other,0.0,yes,yes,yes
70.0,16,4.0,U,4.0,health,0.0,yes,no,yes
70.0,16,6.0,U,4.0,services,0.0,yes,no,yes
50.0,16,4.0,U,3.0,other,0.0,yes,no,no
25.0,17,16.0,U,3.0,services,3.0,yes,no,yes
50.0,16,4.0,U,4.0,health,0.0,yes,no,yes
75.0,15,0.0,U,4.0,teacher,0.0,yes,no,yes
75.0,15,0.0,U,4.0,health,0.0,yes,no,yes
80.0,16,2.0,U,4.0,teacher,0.0,yes,no,yes
60.0,16,0.0,U,2.0,other,0.0,yes,no,yes
40.0,15,4.0,R,2.0,services,0.0,yes,no,yes
40.0,16,14.0,U,2.0,services,2.0,yes,no,yes
55.0,15,2.0,U,2.0,other,0.0,yes,no,yes
75.0,15,4.0,U,4.0,health,0.0,yes,no,yes
55.0,16,4.0,U,3.0,services,0.0,yes,no,yes
55.0,16,16.0,U,4.0,other,0.0,yes,yes,yes
60.0,15,0.0,U,4.0,health,0.0,yes,no,yes
85.0,15,0.0,U,4.0,services,0.0,yes,no,yes
80.0,15,0.0,R,4.0,teacher,0.0,yes,yes,yes
60.0,15,0.0,U,3.0,other,0.0,yes,no,yes
75.0,16,0.0,U,3.0,other,0.0,yes,no,yes
30.0,15,0.0,U,2.0,other,0.0,yes,no,no
90.0,15,2.0,U,4.0,teacher,0.0,yes,no,yes
75.0,16,7.0,R,4.0,other,0.0,yes,yes,yes
55.0,15,2.0,R,3.0,services,0.0,yes,no,yes
65.0,15,8.0,R,2.0,at_home,0.0,yes,no,no
55.0,16,4.0,U,2.0,other,1.0,yes,yes,yes
60.0,15,8.0,U,4.0,teacher,0.0,yes,no,yes
90.0,15,2.0,U,4.0,services,0.0,yes,no,yes
55.0,15,0.0,U,2.0,services,0.0,yes,no,yes
45.0,16,14.0,U,2.0,other,1.0,yes,no,yes
30.0,15,8.0,U,4.0,other,0.0,yes,yes,yes
55.0,16,12.0,U,3.0,other,0.0,yes,no,yes
100.0,16,4.0,U,4.0,health,0.0,yes,no,yes
70.0,15,2.0,U,4.0,teacher,0.0,yes,no,no
35.0,15,2.0,U,4.0,services,1.0,yes,no,yes
65.0,16,2.0,U,2.0,services,0.0,yes,no,yes
65.0,15,2.0,U,4.0,health,0.0,yes,no,yes
50.0,15,6.0,U,4.0,health,1.0,yes,no,yes
55.0,15,0.0,U,4.0,services,0.0,yes,no,yes
65.0,15,6.0,U,3.0,other,0.0,yes,no,yes
50.0,16,8.0,U,2.0,other,0.0,yes,yes,yes
75.0,15,0.0,U,4.0,services,0.0,yes,no,yes
75.0,15,4.0,U,4.0,teacher,0.0,yes,no,no
45.0,15,2.0,U,1.0,other,0.0,yes,no,yes
80.0,16,2.0,U,4.0,other,0.0,yes,no,yes
55.0,16,6.0,R,4.0,health,0.0,yes,no,no
55.0,16,6.0,U,1.0,services,0.0,yes,yes,yes
45.0,16,4.0,U,1.0,other,0.0,yes,no,yes
45.0,16,2.0,U,4.0,teacher,0.0,yes,no,yes
50.0,15,0.0,U,4.0,services,0.0,yes,yes,yes
75.0,16,2.0,U,4.0,teacher,0.0,yes,no,yes
60.0,15,4.0,U,4.0,other,0.0,yes,yes,yes
30.0,16,4.0,U,3.0,services,0.0,yes,no,yes
40.0,15,2.0,R,2.0,health,0.0,yes,no,yes
80.0,15,12.0,R,3.0,other,0.0,yes,no,yes
75.0,16,0.0,U,3.0,other,0.0,yes,no,yes
50.0,15,0.0,U,4.0,other,0.0,yes,no,yes
25.0,15,2.0,R,1.0,other,2.0,yes,yes,yes
70.0,16,2.0,U,3.0,other,0.0,yes,no,no
55.0,16,4.0,U,3.0,other,0.0,yes,no,yes
50.0,15,6.0,U,4.0,teacher,0.0,yes,no,yes
50.0,15,8.0,U,4.0,teacher,0.0,yes,no,yes
55.0,16,0.0,U,2.0,other,0.0,yes,yes,yes
50.0,17,2.0,U,2.0,other,3.0,no,no,yes
25.0,16,12.0,U,3.0,at_home,0.0,yes,no,yes
60.0,15,2.0,U,2.0,other,0.0,yes,yes,yes
55.0,15,4.0,U,2.0,other,0.0,yes,no,yes
30.0,15,10.0,U,3.0,services,0.0,yes,no,yes
75.0,15,4.0,U,2.0,services,0.0,yes,no,yes
50.0,15,2.0,U,1.0,other,0.0,yes,no,yes
40.0,15,6.0,U,4.0,services,2.0,yes,yes,yes
30.0,16,4.0,U,2.0,at_home,0.0,yes,no,yes
70.0,15,4.0,U,4.0,other,0.0,yes,no,yes
50.0,16,12.0,U,2.0,other,1.0,yes,no,yes
35.0,16,18.0,U,4.0,teacher,0.0,yes,no,no
40.0,16,0.0,U,3.0,other,0.0,yes,yes,yes
90.0,15,4.0,U,4.0,services,0.0,yes,no,yes
30.0,16,4.0,U,4.0,other,0.0,yes,no,no
50.0,16,0.0,U,4.0,teacher,0.0,yes,no,yes
70.0,15,6.0,U,2.0,services,0.0,yes,no,yes
50.0,15,2.0,R,1.0,at_home,1.0,yes,no,yes
75.0,16,2.0,U,4.0,services,0.0,yes,no,yes
50.0,16,2.0,U,2.0,other,0.0,yes,yes,no
70.0,16,6.0,U,4.0,other,0.0,yes,no,yes
40.0,16,0.0,U,4.0,other,0.0,yes,no,yes
25.0,16,14.0,U,4.0,services,0.0,yes,no,yes
85.0,16,4.0,U,4.0,services,0.0,yes,yes,yes
70.0,15,4.0,U,4.0,services,0.0,yes,no,yes
30.0,15,4.0,U,3.0,services,0.0,yes,no,yes
90.0,15,0.0,U,3.0,other,0.0,yes,no,yes
55.0,15,10.0,U,3.0,other,0.0,yes,no,no
40.0,15,8.0,U,2.0,other,0.0,yes,no,yes
90.0,16,2.0,U,3.0,services,0.0,yes,no,yes
65.0,15,6.0,R,4.0,other,0.0,yes,yes,yes
80.0,16,4.0,U,4.0,health,0.0,yes,yes,yes
95.0,15,6.0,U,4.0,teacher,0.0,yes,no,yes
50.0,16,0.0,R,3.0,services,1.0,yes,no,yes
65.0,16,6.0,U,2.0,at_home,1.0,yes,no,yes
95.0,15,10.0,U,4.0,teacher,0.0,yes,no,yes
45.0,15,8.0,R,2.0,health,0.0,yes,yes,yes
80.0,16,2.0,U,4.0,teacher,0.0,yes,no,yes
70.0,15,2.0,U,4.0,other,0.0,yes,no,no
65.0,16,0.0,U,3.0,other,0.0,yes,no,yes
40.0,17,20.0,R,1.0,other,1.0,yes,no,yes
65.0,15,6.0,U,3.0,other,0.0,yes,no,yes
75.0,15,4.0,U,1.0,at_home,0.0,yes,no,yes
75.0,15,6.0,U,2.0,services,0.0,yes,no,yes
65.0,16,2.0,U,2.0,other,0.0,yes,yes,yes
65.0,16,18.0,U,4.0,health,0.0,yes,no,yes
40.0,16,0.0,U,2.0,other,0.0,yes,yes,yes
60.0,15,0.0,U,3.0,services,0.0,yes,no,yes
55.0,15,0.0,U,3.0,other,0.0,yes,yes,yes
45.0,19,2.0,U,0.0,at_home,3.0,no,no,no
0.0,18,0.0,R,2.0,other,2.0,yes,no,yes
90.0,16,4.0,R,4.0,teacher,0.0,yes,no,yes
0.0,15,0.0,R,3.0,services,2.0,yes,yes,yes
0.0,15,0.0,U,1.0,at_home,0.0,yes,yes,yes
60.0,17,12.0,U,2.0,other,0.0,yes,yes,yes
55.0,16,16.0,U,3.0,services,0.0,yes,no,yes
0.0,15,0.0,R,3.0,at_home,0.0,yes,yes,no
0.0,15,0.0,U,4.0,services,0.0,yes,yes,yes
0.0,17,0.0,R,3.0,at_home,0.0,yes,no,no
0.0,16,0.0,U,3.0,other,2.0,yes,yes,yes
60.0,16,0.0,U,1.0,services,1.0,yes,yes,no
75.0,15,0.0,U,4.0,teacher,0.0,yes,no,yes
0.0,15,0.0,U,4.0,teacher,0.0,yes,no,yes
45.0,16,8.0,U,2.0,services,2.0,yes,no,yes
55.0,15,2.0,U,4.0,teacher,0.0,yes,no,yes
65.0,16,2.0,U,1.0,at_home,0.0,yes,no,yes
0.0,17,0.0,U,2.0,other,3.0,yes,no,yes
55.0,15,0.0,U,1.0,other,0.0,yes,no,yes
0.0,15,0.0,U,3.0,health,3.0,yes,no,yes
55.0,15,2.0,U,1.0,at_home,0.0,yes,no,yes
0.0,16,0.0,U,4.0,teacher,0.0,no,yes,yes
50.0,15,0.0,U,2.0,services,3.0,yes,no,yes
0.0,18,4.0,U,1.0,other,3.0,no,yes,yes
70.0,16,6.0,U,2.0,at_home,1.0,yes,yes,no
50.0,15,8.0,R,3.0,services,2.0,yes,yes,yes
0.0,19,0.0,U,3.0,services,0.0,no,yes,yes
60.0,17,0.0,U,4.0,other,0.0,yes,yes,no
40.0,15,2.0,R,2.0,at_home,0.0,yes,no,yes
65.0,17,8.0,R,1.0,other,0.0,yes,no,no
50.0,18,6.0,R,1.0,at_home,3.0,yes,no,no
75.0,16,2.0,R,2.0,at_home,0.0,yes,no,no
60.0,16,4.0,U,3.0,other,1.0,yes,yes,yes
0.0,17,0.0,R,2.0,at_home,2.0,no,yes,yes
35.0,15,6.0,R,3.0,other,2.0,yes,yes,yes
0.0,16,0.0,U,1.0,other,1.0,yes,no,yes
50.0,17,2.0,U,1.0,at_home,0.0,no,no,yes
35.0,17,0.0,R,1.0,other,3.0,no,yes,no
60.0,16,16.0,U,3.0,services,1.0,no,no,no
50.0,16,4.0,U,2.0,other,0.0,no,no,yes
80.0,16,0.0,U,4.0,health,0.0,yes,yes,yes
0.0,16,0.0,U,2.0,other,0.0,yes,no,yes
70.0,16,0.0,U,4.0,health,0.0,yes,yes,yes
0.0,16,0.0,U,3.0,other,0.0,yes,no,yes
80.0,16,2.0,U,1.0,other,0.0,yes,yes,yes
50.0,17,4.0,U,4.0,teacher,0.0,yes,no,yes
0.0,16,0.0,U,1.0,at_home,3.0,yes,yes,yes
45.0,16,4.0,U,3.0,other,0.0,yes,no,yes
45.0,17,4.0,U,4.0,teacher,0.0,yes,no,yes
55.0,16,2.0,U,2.0,services,0.0,yes,no,yes
30.0,17,4.0,U,3.0,other,0.0,yes,no,yes
45.0,16,10.0,R,4.0,teacher,0.0,yes,yes,yes
55.0,17,4.0,U,4.0,other,0.0,yes,yes,yes
40.0,16,10.0,U,4.0,teacher,0.0,yes,no,yes
60.0,16,2.0,U,3.0,services,0.0,yes,no,yes
85.0,17,0.0,U,2.0,services,0.0,yes,no,no
40.0,17,4.0,U,3.0,other,0.0,yes,yes,yes
60.0,16,14.0,U,3.0,other,0.0,yes,no,yes
55.0,17,12.0,U,3.0,services,0.0,yes,yes,yes
55.0,16,2.0,U,1.0,services,0.0,yes,yes,yes
75.0,16,0.0,U,2.0,other,0.0,yes,yes,yes
45.0,17,6.0,U,3.0,health,0.0,yes,yes,yes
50.0,17,4.0,R,1.0,at_home,0.0,yes,no,no
65.0,16,10.0,U,2.0,services,0.0,yes,no,yes
45.0,17,0.0,U,1.0,at_home,0.0,yes,no,yes
40.0,17,12.0,U,1.0,at_home,0.0,yes,no,yes
50.0,16,8.0,R,4.0,services,0.0,yes,no,yes
70.0,16,0.0,U,2.0,other,0.0,yes,no,yes
75.0,17,0.0,U,2.0,services,0.0,yes,yes,yes
80.0,17,4.0,U,4.0,services,0.0,yes,no,yes
50.0,16,8.0,R,3.0,teacher,0.0,yes,no,yes
90.0,17,4.0,U,4.0,services,1.0,yes,no,yes
50.0,16,0.0,U,4.0,teacher,0.0,yes,no,yes
80.0,16,2.0,U,4.0,health,0.0,yes,no,yes
